"Date","Price","Open","High","Low","Vol.","Change %"
"11/22/2004","5,442.00","5,442.00","5,442.00","5,442.00","","0.91%"
"11/19/2004","5,393.00","5,393.00","5,393.00","5,393.00","","1.09%"
"11/18/2004","5,335.00","5,335.00","5,335.00","5,335.00","","1.35%"
"11/17/2004","5,264.00","5,264.00","5,264.00","5,264.00","","1.41%"
"11/16/2004","5,191.00","5,191.00","5,191.00","5,191.00","","0.76%"
"11/15/2004","5,152.00","5,152.00","5,152.00","5,152.00","","0.53%"
"11/12/2004","5,125.00","5,125.00","5,125.00","5,125.00","","0.35%"
"11/11/2004","5,107.00","5,107.00","5,107.00","5,107.00","","0.49%"
"11/10/2004","5,082.00","5,082.00","5,082.00","5,082.00","","0.43%"
"11/09/2004","5,060.00","5,060.00","5,060.00","5,060.00","","0.40%"
"11/08/2004","5,040.00","5,040.00","5,040.00","5,040.00","","0.26%"
"11/05/2004","5,027.00","5,027.00","5,027.00","5,027.00","","0.66%"
"11/04/2004","4,994.00","4,994.00","4,994.00","4,994.00","","0.89%"
"11/03/2004","4,950.00","4,950.00","4,950.00","4,950.00","","0.26%"
"11/02/2004","4,937.00","4,937.00","4,937.00","4,937.00","","0.18%"
"11/01/2004","4,928.00","4,928.00","4,928.00","4,928.00","","0.12%"
"10/29/2004","4,922.00","4,922.00","4,922.00","4,922.00","","0.20%"
"10/28/2004","4,912.00","4,912.00","4,912.00","4,912.00","","0.22%"
"10/27/2004","4,901.00","4,901.00","4,901.00","4,901.00","","0.49%"
"10/26/2004","4,877.00","4,877.00","4,877.00","4,877.00","","1.01%"
"10/25/2004","4,828.00","4,828.00","4,828.00","4,828.00","","0.88%"
"10/22/2004","4,786.00","4,786.00","4,786.00","4,786.00","","1.25%"
"10/21/2004","4,727.00","4,727.00","4,727.00","4,727.00","","1.37%"
"10/20/2004","4,663.00","4,663.00","4,663.00","4,663.00","","0.82%"
"10/19/2004","4,625.00","4,625.00","4,625.00","4,625.00","","0.50%"
"10/18/2004","4,602.00","4,602.00","4,602.00","4,602.00","","0.66%"
"10/15/2004","4,572.00","4,572.00","4,572.00","4,572.00","","1.11%"
"10/14/2004","4,522.00","4,522.00","4,522.00","4,522.00","","1.10%"
"10/13/2004","4,473.00","4,473.00","4,473.00","4,473.00","","1.47%"
"10/12/2004","4,408.00","4,408.00","4,408.00","4,408.00","","1.24%"
"10/11/2004","4,354.00","4,354.00","4,354.00","4,354.00","","0.95%"
"10/08/2004","4,313.00","4,313.00","4,313.00","4,313.00","","1.39%"
"10/07/2004","4,254.00","4,254.00","4,254.00","4,254.00","","1.53%"
"10/06/2004","4,190.00","4,190.00","4,190.00","4,190.00","","0.79%"
"10/05/2004","4,157.00","4,157.00","4,157.00","4,157.00","","0.65%"
"10/04/2004","4,130.00","4,130.00","4,130.00","4,130.00","","0.44%"
"10/01/2004","4,112.00","4,112.00","4,112.00","4,112.00","","0.17%"
"09/30/2004","4,105.00","4,105.00","4,105.00","4,105.00","","0.12%"
"09/29/2004","4,100.00","4,100.00","4,100.00","4,100.00","","-0.15%"
"09/28/2004","4,106.00","4,106.00","4,106.00","4,106.00","","-0.41%"
"09/27/2004","4,123.00","4,123.00","4,123.00","4,123.00","","-0.63%"
"09/24/2004","4,149.00","4,149.00","4,149.00","4,149.00","","-0.74%"
"09/23/2004","4,180.00","4,180.00","4,180.00","4,180.00","","-0.99%"
"09/22/2004","4,222.00","4,222.00","4,222.00","4,222.00","","-0.17%"
"09/21/2004","4,229.00","4,229.00","4,229.00","4,229.00","","-0.09%"
