Date,USDINRClose,CrudeOil,Gold
12-06-2017,64.394997,44.740002,1254
19-06-2017,64.498001,43.009998,1256.199951
26-06-2017,64.606796,46.040001,1240.699951
03-07-2017,64.611702,44.23,1208.599976
10-07-2017,64.267303,46.540001,1226.599976
17-07-2017,64.461098,45.77,1254.300049
24-07-2017,64.123497,49.709999,1268.400024
31-07-2017,63.6651,49.580002,1258.300049
07-08-2017,64.081001,48.82,1287.699951
14-08-2017,64.075897,48.509998,1285.699951
21-08-2017,63.995499,47.869999,1292.5
28-08-2017,64.015503,47.290001,1324.5
04-09-2017,63.931,47.48,1346
11-09-2017,64.120201,49.889999,1320.400024
18-09-2017,64.890999,50.66,1293.300049
25-09-2017,65.293297,51.669998,1281.5
02-10-2017,65.4142,49.290001,1271.599976
09-10-2017,64.672997,51.450001,1301.5
16-10-2017,65.104103,51.470001,1277.400024
23-10-2017,65.032997,53.900002,1268.5
30-10-2017,64.693398,55.639999,1266.5
06-11-2017,65.182999,56.740002,1272.400024
13-11-2017,65.008003,56.549999,1295.800049
20-11-2017,64.544998,58.950001,1286.699951
27-11-2017,64.513,58.360001,1278.800049
04-12-2017,64.473,57.360001,1245.199951
11-12-2017,64.072998,57.299999,1254.300049
18-12-2017,64.007797,58.470001,1275.400024
25-12-2017,63.840801,60.419998,1306.300049
01-01-2018,63.333,61.439999,1320.300049
08-01-2018,63.588501,64.300003,1333.400024
15-01-2018,63.823002,63.369999,1331.900024
22-01-2018,63.573101,66.139999,1351.599976
29-01-2018,64.1325,65.449997,1333.699951
05-02-2018,64.211304,59.200001,1313.099976
12-02-2018,64.379997,61.68,1353.199951
19-02-2018,64.703003,63.549999,1328.199951
26-02-2018,65.186699,61.25,1321.099976
05-03-2018,65.090401,62.040001,1322.400024
12-03-2018,65.014397,62.34,1311.300049
19-03-2018,65.014999,65.879997,1349.300049
26-03-2018,65.069801,64.940002,1322.800049
02-04-2018,64.904503,62.060001,1331.900024
09-04-2018,65.195602,67.389999,1344.800049
16-04-2018,66.203003,68.379997,1336.699951
23-04-2018,66.610001,68.099998,1320.300049
30-04-2018,66.809998,69.720001,1312.699951
07-05-2018,67.382202,70.699997,1319
14-05-2018,67.974998,71.279999,1290.199951
21-05-2018,67.721703,67.879997,1303.300049
28-05-2018,66.987999,65.809998,1294.800049
04-06-2018,67.523003,65.739998,1298.099976
11-06-2018,67.779999,66.889999,1304
18-06-2018,67.830002,68.580002,1267.400024
25-06-2018,68.434998,74.150002,1251.300049
02-07-2018,68.754997,73.800003,1254.300049
09-07-2018,68.486702,71.010002,1239.599976
16-07-2018,68.733002,70.459999,1229.5
23-07-2018,68.610001,68.690002,1222.599976
30-07-2018,68.510002,68.489998,1214.199951
06-08-2018,69.080002,67.629997,1211.099976
13-08-2018,69.779999,65.910004,1176.5
20-08-2018,70.275002,68.720001,1206.300049
27-08-2018,70.995003,69.800003,1200.300049
03-09-2018,72.095001,67.75,1193.599976
10-09-2018,72.027496,68.989998,1195
17-09-2018,72.230003,70.779999,1196.199951
24-09-2018,72.510002,73.25,1191.5
01-10-2018,73.763,74.339996,1201.199951
08-10-2018,74.160004,71.339996,1218.099976
15-10-2018,74.160004,69.120003,1225.300049
22-10-2018,73.125,67.589996,1232.5
29-10-2018,72.904999,63.139999,1230.900024
05-11-2018,72.470001,60.189999,1206.400024
12-11-2018,71.973,56.459999,1220.800049
19-11-2018,70.648003,50.419998,1221
26-11-2018,69.642998,50.93,1220.199951
03-12-2018,70.75,52.610001,1246.800049
10-12-2018,71.546997,51.200001,1237
17-12-2018,70.129997,45.59,1253.800049
24-12-2018,69.849998,45.330002,1279.900024
31-12-2018,69.525002,47.959999,1282.699951
07-01-2019,70.370003,51.59,1287.099976
14-01-2019,71.030197,53.799999,1281.300049
21-01-2019,70.970001,53.689999,1297.400024
28-01-2019,71.449997,55.259998,1316.900024
04-02-2019,71.099998,52.720001,1313.699951
11-02-2019,71.32,55.59,1318.099976
18-02-2019,71.028,57.259998,1329.199951
25-02-2019,70.989998,55.799999,1296.400024
04-03-2019,69.9869,56.07,1297
11-03-2019,69.337303,58.52,1301.800049
18-03-2019,69.160004,59.040001,1311.599976
25-03-2019,69.43,60.139999,1293
